contact_name,device_name,rssi,location,duration,date,contact
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.21",27 sec,2022-05-09 09:36:00,[B@4df3a9c
SM-G780FSP1A.210812.016,LIO-AL00,-53,"55.72, 13.22",33 sec,error,[B@4e6ba12
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",3:26 min,2022-05-10 10:08:00,[B@4ebdd8
SM-G991B,SM-G780F,0,"55.72, 13.21",1:49 min,2022-05-09 09:34:00,[B@4ef7ebe
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",3:12 min,2022-05-10 09:38:00,[B@4f952eb
Nokia 7.2,SM-G780F,0,"- , -",1:15:13 hours,2022-04-27 10:29:00,[B@50508b6
Lenovo TB-X505F,G8341,-100,"55.71, 13.23",1:02 min,2022-05-09 01:13:00,[B@505d925
SM-G780FSP1A.210812.016,G8341,-86,"55.72, 13.22",23 sec,2022-05-12 03:06:00,[B@507b3be
G834147.2.A.11.228,SM-G991B,0,"- , -",20 sec,2022-05-11 11:07:00,[B@50eb52d
G8341,SM-G780F,0,"- , -",3:24 min,2022-05-09 12:41:00,[B@51236c2
SM-G991B,SM-G780F,0,"55.72, 13.22",2:20 min,2022-04-27 11:13:00,[B@51436f1
Galaxy S20 FE de Marie,SM-G991B,0,"55.72, 13.22",23 sec,2022-05-09 09:36:00,[B@518371c
Nokia 7.2RKQ1.210607.001,SM-G780F,0,"- , -",37 sec,2022-05-12 10:49:00,[B@51edb09
SM-G991BSP1A.210812.016,G8341,0,"55.71, 13.23",41 sec,2022-05-11 11:11:00,[B@5206e26
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",43 sec,2022-05-10 10:15:00,[B@535fee
SM-G991BSP1A.210812.016,G8341,0,"55.71, 13.23",22 sec,2022-05-11 12:17:00,[B@53b97c4
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",3:39 min,2022-05-12 07:47:00,[B@541aa95
Nokia 7.2RKQ1.210607.001,SM-G780F,0,"55.72, 13.22",0 sec,2022-05-12 03:52:00,[B@5440963
Lenovo TB-X505F,G8341,-88,"55.71, 13.23",24 sec,2022-05-11 05:14:00,[B@551ccec
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",6:42 min,2022-05-12 10:27:00,[B@558c0fd
Galaxy S20 FE de Marie,Lenovo TB-X505F,0,"- , -",37 sec,2022-05-09 09:35:00,[B@55925cc
SM-G780F,G8341,0,"55.71, 13.23",3:27 min,2022-05-09 01:17:00,[B@55d7e6c
G8341,SM-G780F,0,"55.72, 13.21",49 sec,2022-05-09 10:01:00,[B@55f9792
Nokia 7.2RKQ1.210607.001,SM-G780F,0,"55.72, 13.22",0 sec,2022-05-12 03:52:00,[B@56011f4
Nokia 7.2RKQ1.210607.001,SM-G780F,-91,"55.72, 13.22",13 sec,2022-05-12 10:54:00,[B@561c0c1
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",19 sec,2022-05-10 10:42:00,[B@5620298
SM-G780FSP1A.210812.016,Lenovo TB-X505F,-40,"55.72, 13.22",37 sec,2022-05-11 03:31:00,[B@566cc6e
LIO-AL00,SM-A700H,0,"- , -",51:40 min,2022-05-09 01:18:00,[B@5826c2
SM-G991B,G8341,0,"55.71, 13.23",57 sec,2022-05-09 05:06:00,[B@583a2da
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",4:49 min,2022-05-10 11:05:00,[B@586851f
Galaxy S20 FE de Marie,SM-G991B,0,"- , -",19:24 min,2022-05-09 11:14:00,[B@591b974
Lenovo TB-X505F,G8341,-83,"55.71, 13.23",55 sec,2022-05-11 05:28:00,[B@593988b
G8341,SM-G991B,0,"55.72, 13.22",7:51 min,2022-05-09 02:52:00,[B@59fa2aa
SM-G780F,G8341,0,"55.71, 13.23",1:51 min,2022-05-09 01:10:00,[B@5a646fd
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",58 sec,2022-05-10 10:47:00,[B@5aae04f
SM-G991B,SM-G780F,0,"55.72, 13.22",6:04 min,2022-04-27 11:16:00,[B@5ab060e
Lenovo TB-X505F,SM-G780F,0,"- , -",13 sec,2022-05-09 03:52:00,[B@5ac3a7f
G8341,SM-G991B,-51,"55.72, 13.22",56 sec,2022-05-09 09:47:00,[B@5add0fc
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.21",27 sec,2022-05-09 02:00:00,[B@5bba02e
Nokia 7.2RKQ1.210607.001,G8341,0,"55.71, 13.23",5:01 min,2022-05-11 01:53:00,[B@5be2ca4
Lenovo TB-X505F,SM-A700H,-68,"- , -",2:18 min,2022-05-09 04:11:00,[B@5c18485
SM-G780F,G8341,0,"55.71, 13.23",7:44 min,2022-05-09 02:55:00,[B@5c66041
G834147.2.A.11.228,Lenovo TB-X505F,-90,"55.72, 13.22",16 sec,2022-05-11 01:48:00,[B@5c6dc4f
Nokia 7.2,G8341,0,"55.71, 13.23",13:13 min,2022-05-09 02:49:00,[B@5ccf73c
SM-G780F,SM-G991B,0,"- , -",1:04 min,2022-05-09 10:01:00,[B@5cd3159
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",2:12 min,2022-05-10 09:31:00,[B@5d43332
LIO-AL00,G8341,-85,"55.71, 13.23",1:40 min,2022-05-09 04:32:00,[B@5d487ef
Lenovo TB-X505F,G8341,-94,"55.71, 13.23",43 sec,2022-05-11 05:08:00,[B@5d6142c
SM-G780FSP1A.210812.016,SM-A700H,-67,"- , -",13 sec,2022-05-10 12:57:00,[B@5e1313
SM-G991BSP1A.210812.016,SM-G780F,-79,"- , -",13 sec,2022-05-10 11:37:00,[B@5ee624f
G834147.2.A.11.228,SM-G780F,0,"55.72, 13.22",53 sec,2022-05-12 10:52:00,[B@5efb630
SM-G991BSP1A.210812.016,Lenovo TB-X505F,0,"55.72, 13.22",33:44 min,2022-05-11 03:59:00,[B@5f54002
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",6:29 min,2022-05-10 11:55:00,[B@5f9149a
Nokia 7.2RKQ1.210607.001,SM-G991B,0,"- , -",46 sec,2022-05-11 10:38:00,[B@601a4c
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",4:10 min,2022-05-12 10:18:00,[B@60501aa
SM-G991BSP1A.210812.016,SM-G780F,-70,"55.72, 13.22",13 sec,2022-05-10 09:30:00,[B@607d64d
Galaxy S20 FE de Marie,G8341,0,"55.71, 13.23",3:37 min,2022-05-09 12:44:00,[B@611b6c
